"","x"
"1",291.634404341293
"2",28.4795567788522
"3",1736.66828526031
"4",32.7239340303161
"5",1535.5200020813
"6",54.3798175052801
"7",1633.67123299423
"8",208.777925245695
"9",1131.65375832521
"10",577.588951993539
"11",605.400703074239
"12",134.693018624074
"13",996.590486974089
"14",437.679453707227
"15",1087.95280747442
"16",1060.58739202791
"17",22.078914575211
"18",7.63107968851526
"19",482.832008660251
"20",173.752900625406
"21",323.740535503979
"22",23.3911571142225
"23",170.724437683347
"24",0.903336317098012
"25",51.3561326855911
"26",1253.92205419509
"27",331.694250984812
"28",7.37124667113316
"29",6.3253106445428
"30",464.40036493868
"31",2561.25132944485
"32",1045.35250747277
"33",1104.38371287617
"34",2096.64868333045
"35",166.018032430229
"36",2134.04859345681
"37",1369.09870865884
"38",1868.83200133833
"39",149.092210971505
"40",1708.57917214601
"41",1863.10829583382
"42",1421.67182578767
"43",138.588746210581
"44",1246.7723306626
"45",1602.02656652493
"46",1620.41479061332
"47",1671.89308809495
"48",1277.4341837346
"49",1873.27456125951
"50",150.72506545514
"51",1376.76567206614
"52",1233.9017501726
"53",993.774252102644
"54",1631.11874147381
"55",2748.24381847786
"56",1991.95525386228
"57",999.999405051981
"58",2278.48159546337
"59",3192.49738073509
"60",1440.61319199194
"61",2012.23304554821
"62",3051.93647212572
"63",4389.38311224893
"64",4222.29007141516
"65",2264.49856341483
"66",3979.94936320959
"67",5920.46955531086
"68",2422.65263856463
"69",2392.62757740425
"70",4709.78868214263
"71",2845.05650843241
"72",1640.33063456756
"73",2651.10200527775
"74",6646.64231288142
"75",1646.01319543946
"76",2484.6686605377
"77",2251.14157876388
"78",2774.12446915074
"79",4023.42543201319
"80",1455.99604529197
"81",2628.83769130152
"82",4914.29285869541
"83",3274.4128564393
"84",4036.18850556008
"85",2258.80152917901
"86",2605.17416628879
"87",3957.49131437277
"88",5177.2228984387
"89",6209.41357217486
"90",2449.38120922916
